R3t,R3p,Et1,Ep,Et2,E
-3.8,0.1,-7.393845535989385,-7.806068777455948,-7.354771743121091,-45.10937211313285
-3.8,0.2,-7.393845535989385,-7.817929971613921,-7.345278771826997,-45.11410855886061
-3.7,-4.0,-7.466186771169305,-6.200287002837285,-10.356606390385423,-48.046160328784026
-3.7,-3.9,-7.466186771169305,-6.281363804941066,-10.487597220344469,-48.47029559290968
-3.7,-3.8,-7.466186771169305,-6.357074141385965,-10.570415362773929,-48.7873525506584
-3.7,-3.7,-7.466186771169305,-6.427389146876521,-10.598829015507363,-48.98480986710638
-3.7,-3.6,-7.466186771169305,-6.492380357580259,-10.570415362773929,-49.057964983046986
-3.7,-3.5,-7.466186771169305,-6.552401689114049,-10.487597220344469,-49.012371361255646
-3.7,-3.4,-7.466186771169305,-6.607975229737349,-10.356606390385423,-48.86153678258415
-3.7,-3.3,-7.466186771169305,-6.659707154030912,-10.186927686387207,-48.62564322317485
-3.7,-3.2,-7.466186771169305,-6.7084458557656035,-9.990651971078478,-48.33056919602677
-3.7,-3.1,-7.466186771169305,-6.755330892978236,-9.781141442246735,-48.00531821278855
-3.7,-3.0,-7.466186771169305,-6.801658701268025,-9.571457093290519,-47.6786051314557
-3.7,-2.9,-7.466186771169305,-6.848989270394668,-9.374034289561678,-47.3784206622513
-3.7,-2.8,-7.466186771169305,-6.899010602734052,-9.199228828947525,-47.128852405701764
-3.7,-2.7,-7.466186771169305,-6.9532575871562585,-9.055682778940536,-46.9502542745322
-3.7,-2.6,-7.466186771169305,-7.012943828245625,-8.950355225300882,-46.85897164943162
-3.7,-2.5,-7.466186771169305,-7.078736996627413,-8.886867528781295,-46.863582593156025
-3.7,-2.4,-7.466186771169305,-7.1506032071774825,-8.866761480632704,-46.96710291795898
-3.7,-2.3,-7.466186771169305,-7.227822077577002,-8.888738135923631,-47.16549396933988
-3.7,-2.2,-7.466186771169305,-7.30904697207734,-8.949147896026261,-47.44876327854581
-3.7,-2.1,-7.466186771169305,-7.3923614748055115,-9.042935540725011,-47.802967573399656
-3.7,-2.0,-7.466186771169305,-7.475655897054821,-9.161971050139982,-48.20762743672822
-3.7,-1.9,-7.466186771169305,-7.556791685055941,-9.296540569746867,-48.639038051944226
-3.7,-1.8,-7.466186771169305,-7.6337231560610235,-9.434977433353197,-49.06977472116705
-3.7,-1.7,-7.466186771169305,-7.704674456850626,-9.565122379688546,-49.47196721541695
-3.7,-1.6,-7.466186771169305,-7.76822239428293,-9.675114842597395,-49.81904801609926
-3.7,-1.5,-7.466186771169305,-7.8232550212414935,-9.753757533442695,-50.086398651706986
-3.7,-1.4,-7.466186771169305,-7.869113452150486,-9.791780246887356,-50.254160940414295
-3.7,-1.3,-7.466186771169305,-7.905485186725855,-9.782580950122792,-50.308505816035904
-3.7,-1.2,-7.466186771169305,-7.932208327576518,-9.723045311577152,-50.24288082064595
-3.7,-1.1,-7.466186771169305,-7.9492590294685215,-9.61368349607801,-50.058258593431674
-3.7,-1.0,-7.466186771169305,-7.956899591139518,-9.458724294381682,-49.76362131338101
-3.7,-0.9,-7.466186771169305,-7.955529109342024,-9.265546595677733,-49.374524952378124
-3.7,-0.8,-7.466186771169305,-7.945957071729936,-9.043947714264505,-48.91218311432749
-3.7,-0.7,-7.466186771169305,-7.92953764507547,-8.805114898306783,-48.40167862910312
-3.7,-0.6,-7.466186771169305,-7.908075548009947,-8.560224100772757,-47.86897283990402
-3.7,-0.5,-7.466186771169305,-7.883730670204386,-8.320024568005465,-47.33988401875831
-3.7,-0.4,-7.466186771169305,-7.858969125547446,-8.094191876531113,-46.83869554649573
-3.7,-0.3,-7.466186771169305,-7.8362538911169395,-7.890732426720206,-46.3863461780129
-3.7,-0.2,-7.466186771169305,-7.817929971613921,-7.715913788357284,-46.00006106228102
-3.7,-0.1,-7.466186771169305,-7.806068777455948,-7.573694294434972,-45.69189968612045
-3.7,0.0,-7.466186771169305,-7.80199372745119,-7.466186771169305,-45.4687345395796
-3.7,0.1,-7.466186771169305,-7.806068777455948,-7.393845535989385,-45.33220216922928
-3.7,0.2,-7.466186771169305,-7.817929971613921,-7.354771743121091,-45.277776971808635
-3.7,0.3,-7.466186771169305,-7.836254518595524,-7.345278771826997,-45.29544012318365
-3.6,-4.0,-7.573694294434972,-6.200287002837285,-10.186927686387207,-47.92181796731893
-3.6,-3.9,-7.573694294434972,-6.281363804941066,-10.356606390385423,-48.42332897952292
-3.6,-3.8,-7.573694294434972,-6.357074141385965,-10.487597220344469,-48.83673131233081
-3.6,-3.7,-7.573694294434972,-6.427389146876521,-10.570415362773929,-49.142997608170845
-3.6,-3.6,-7.573694294434972,-6.492380357580259,-10.598829015507363,-49.32980733504519
-3.6,-3.5,-7.573694294434972,-6.552401689114049,-10.570415362773929,-49.3930226926459
-3.6,-3.4,-7.573694294434972,-6.607975229737349,-10.487597220344469,-49.33853348903358
-3.6,-3.3,-7.573694294434972,-6.659707154030912,-10.356606390385423,-49.18001567770261
-3.6,-3.2,-7.573694294434972,-6.7084458557656035,-10.186927686387207,-48.938135673175566
-3.6,-3.1,-7.573694294434972,-6.755330892978236,-9.990651971078478,-48.63935431698337
-3.6,-3.0,-7.573694294434972,-6.801658701268025,-9.781141442246735,-48.312988875899464
-3.6,-2.9,-7.573694294434972,-6.848989270394668,-9.571457093290519,-47.98828131624032
-3.6,-2.8,-7.573694294434972,-6.899010602734052,-9.374034289561678,-47.6934783734614
-3.6,-2.7,-7.573694294434972,-6.9532575871562585,-9.199228828947525,-47.45236142107751
-3.6,-2.6,-7.573694294434972,-7.012943828245625,-9.055682778940536,-47.284641803242266
-3.6,-2.5,-7.573694294434972,-7.078736996627413,-8.950355225300882,-47.205573032726534
-3.6,-2.4,-7.573694294434972,-7.1506032071774825,-8.886867528781295,-47.2223300607875
-3.6,-2.3,-7.573694294434972,-7.227822077577002,-8.866761480632704,-47.336555705289356
-3.6,-2.2,-7.573694294434972,-7.30904697207734,-8.888738135923631,-47.54295880487189
-3.6,-2.1,-7.573694294434972,-7.3923614748055115,-8.949147896026261,-47.83040733053349
-3.6,-2.0,-7.573694294434972,-7.475655897054821,-9.042935540725011,-48.18457146442961
-3.6,-1.9,-7.573694294434972,-7.556791685055941,-9.161971050139982,-48.58491405926179
-3.6,-1.8,-7.573694294434972,-7.6337231560610235,-9.296540569746867,-49.007916040485725
-3.6,-1.7,-7.573694294434972,-7.704674456850626,-9.434977433353197,-49.42669236927759
-3.6,-1.6,-7.573694294434972,-7.76822239428293,-9.565122379688546,-49.814078136812896
-3.6,-1.5,-7.573694294434972,-7.8232550212414935,-9.675114842597395,-50.14412831654772
-3.6,-1.4,-7.573694294434972,-7.869113452150486,-9.753757533442695,-50.393130560056306
-3.6,-1.3,-7.573694294434972,-7.905485186725855,-9.791780246887356,-50.541919456096366
-3.6,-1.2,-7.573694294434972,-7.932208327576518,-9.782580950122792,-50.576967144268565
-3.6,-1.1,-7.573694294434972,-7.9492590294685215,-9.723045311577152,-50.49199727096129
-3.6,-1.0,-7.573694294434972,-7.956899591139518,-9.61368349607801,-50.288554763305
-3.6,-0.9,-7.573694294434972,-7.955529109342024,-9.458724294381682,-49.975895396317355
-3.6,-0.8,-7.573694294434972,-7.945957071729936,-9.265546595677733,-49.57039592368528
-3.6,-0.7,-7.573694294434972,-7.92953764507547,-9.043947714264505,-49.094359307549894
-3.6,-0.6,-7.573694294434972,-7.908075548009947,-8.805114898306783,-48.573769481503405
