R3t,R3p,Et1,Ep,Et2,E
-2.1,-3.5,-6.978361752058845,-4.438994444906712,-6.493848103447817,-35.82240860082675
-2.1,-3.4,-6.978361752058845,-4.4969713487662375,-6.490104378841352,-35.93087495933287
-2.1,-3.3,-6.978361752058845,-4.552446997840889,-6.517147549835499,-36.095912599470466
-2.1,-3.2,-6.978361752058845,-4.60603384161368,-6.575676034961361,-36.32014325726777
-2.1,-3.1,-6.978361752058845,-4.658547643688507,-6.6648031628574245,-36.603425117209554
-2.1,-3.0,-6.978361752058845,-4.710905823041685,-6.78122634824831,-36.94098784669768
-2.1,-2.9,-6.978361752058845,-4.764180166996084,-6.9202612287481315,-37.32560629560612
-2.1,-2.8,-6.978361752058845,-4.8195629444671795,-7.07548147480702,-37.74681234266609
-2.1,-2.7,-6.978361752058845,-4.87809582229238,-7.238433271704707,-38.189781692111865
-2.1,-2.6,-6.978361752058845,-4.940506711951457,-7.400072317570448,-38.6378815631615
-2.1,-2.5,-6.978361752058845,-5.007116898428649,-7.5506113391020335,-39.072179979179054
-2.1,-2.4,-6.978361752058845,-5.077765739290044,-7.680418057716452,-39.47309109813068
-2.1,-2.3,-6.978361752058845,-5.151764228474349,-7.780227288254537,-39.82070653757546
-2.1,-2.2,-6.978361752058845,-5.227970297797583,-7.843527359422296,-40.09971881855745
-2.1,-2.1,-6.978361752058845,-5.304906788864173,-7.864737197465729,-40.296011476777494
-2.1,-2.0,-6.978361752058845,-5.380939665599726,-7.843527359422296,-40.405657554161735
-2.1,-1.9,-6.978361752058845,-5.454466267488897,-7.780227288254537,-40.42611061560456
-2.1,-1.8,-6.978361752058845,-5.523914054152556,-7.680418057716452,-40.365387727855705
-2.1,-1.7,-6.978361752058845,-5.587948939646594,-7.5506113391020335,-40.233844061614946
-2.1,-1.6,-6.978361752058845,-5.645495371660218,-7.400072317570448,-40.04785888257902
-2.1,-1.5,-6.978361752058845,-5.695688641513698,-7.238433271704707,-39.8249673305545
-2.1,-1.4,-6.978361752058845,-5.738014191039838,-7.07548147480702,-39.583714835811406
